 WORD -> SUGGESTION  [FUZZINESS SCORE] 
[C] .net -> net	 [fuzz: 0.86]
[C] a3 -> a	 [fuzz: 0.67]
[C] abingdon -> abandon	 [fuzz: 0.8]
[C] abraid -> afraid	 [fuzz: 0.83]
[C] accenture -> adventure	 [fuzz: 0.78]
[C] aci -> act	 [fuzz: 0.67]
[C] activex -> active	 [fuzz: 0.92]
[C] admin -> admit	 [fuzz: 0.8]
[C] ajax -> ajar	 [fuzz: 0.75]
[C] alda -> alba	 [fuzz: 0.75]
[C] analytics -> analysis	 [fuzz: 0.82]
[C] android -> andros	 [fuzz: 0.77]
[C] aocs -> docs	 [fuzz: 0.75]
[C] apmp -> amp	 [fuzz: 0.86]
[C] automated -> automatic	 [fuzz: 0.78]
[C] aws -> was	 [fuzz: 0.67]
[C] biolens -> violent	 [fuzz: 0.71]
[C] blah -> bah	 [fuzz: 0.86]
[C] blogger -> longer	 [fuzz: 0.77]
[C] bpmn -> been	 [fuzz: 0.5]
[C] burton -> button	 [fuzz: 0.83]
[C] c# -> c	 [fuzz: 0.67]
[C] c++ -> can	 [fuzz: 0.33]
[C] causality -> casualty	 [fuzz: 0.82]
[C] cbap -> cap	 [fuzz: 0.86]
[C] ccba -> cuba	 [fuzz: 0.75]
[C] cern -> corn	 [fuzz: 0.75]
[C] chocolatey -> chocolate	 [fuzz: 0.95]
[C] clustering -> fluttering	 [fuzz: 0.8]
[C] coaching -> reaching	 [fuzz: 0.75]
[C] consultancy -> consultant	 [fuzz: 0.86]
[C] cora -> cord	 [fuzz: 0.75]
[C] couchdb -> couch	 [fuzz: 0.83]
[C] css -> ass	 [fuzz: 0.67]
[C] câ  -> can	 [fuzz: 0.33]
[C] d3 -> do	 [fuzz: 0.5]
[C] databases -> database	 [fuzz: 0.94]
[C] definiens -> deficient	 [fuzz: 0.78]
[C] delphi -> delhi	 [fuzz: 0.91]
[C] designpro -> designer	 [fuzz: 0.82]
[C] doxygen -> oxygen	 [fuzz: 0.92]
[C] dpl -> del	 [fuzz: 0.67]
[C] drools -> troops	 [fuzz: 0.67]
[C] drupal -> rural	 [fuzz: 0.73]
[C] dsdm -> did	 [fuzz: 0.57]
[C] dtd -> did	 [fuzz: 0.67]
[C] eclipse -> eclipses	 [fuzz: 0.93]
[C] eln -> en	 [fuzz: 0.8]
[C] esd -> end	 [fuzz: 0.67]
[C] f# -> ff	 [fuzz: 0.5]
[C] fem -> few	 [fuzz: 0.67]
[C] filtering -> faltering	 [fuzz: 0.89]
[C] fision -> vision	 [fuzz: 0.83]
[C] fmcg -> face	 [fuzz: 0.5]
[C] fortran -> footman	 [fuzz: 0.71]
[C] geant4 -> meant	 [fuzz: 0.73]
[C] glp -> gap	 [fuzz: 0.67]
[C] gradle -> grade	 [fuzz: 0.91]
[C] groovy -> groove	 [fuzz: 0.83]
[C] gsd -> god	 [fuzz: 0.67]
[C] gwt -> get	 [fuzz: 0.67]
[C] gxp -> gap	 [fuzz: 0.67]
