 WORD -> SUGGESTION  [FUZZINESS SCORE][C] macintosh -> mackintosh	 [fuzz: 0.947]
[C] xml -> all	 [fuzz: 0.333]
[C] eln -> en	 [fuzz: 0.8]
[C] designpro -> designer	 [fuzz: 0.824]
[C] fision -> vision	 [fuzz: 0.833]
[C] biolens -> violent	 [fuzz: 0.714]
[C] sql -> sal	 [fuzz: 0.667]
[C] mysql -> myself	 [fuzz: 0.727]
[C] itil -> til	 [fuzz: 0.857]
[C] radar -> rear	 [fuzz: 0.667]
[C] vpn -> van	 [fuzz: 0.667]
[C] simulation -> stimulation	 [fuzz: 0.952]
[C] jira -> fire	 [fuzz: 0.5]
[C] iseb -> is	 [fuzz: 0.667]
[C] wf -> of	 [fuzz: 0.5]
[C] solr -> sole	 [fuzz: 0.75]
[C] kalman -> palmar	 [fuzz: 0.667]
[C] sqlite -> quite	 [fuzz: 0.727]
[C] couchdb -> couch	 [fuzz: 0.833]
[C] activex -> active	 [fuzz: 0.923]
[C] vsphere -> sphere	 [fuzz: 0.923]
[C] coaching -> reaching	 [fuzz: 0.75]
[C] dtd -> did	 [fuzz: 0.667]
[C] vb6 -> by	 [fuzz: 0.4]
[C] spec -> speck	 [fuzz: 0.889]
[C] svn -> son	 [fuzz: 0.667]
[C] ucd -> und	 [fuzz: 0.667]
[C] fem -> few	 [fuzz: 0.667]
[C] jetty -> petty	 [fuzz: 0.8]
[C] scilab -> scab	 [fuzz: 0.8]
[C] stash -> smash	 [fuzz: 0.8]
[C] jenkins -> jerking	 [fuzz: 0.714]
[C] kanban -> kansas	 [fuzz: 0.667]
[C] ssrs -> sir	 [fuzz: 0.571]
[C] node.js -> nodes	 [fuzz: 0.833]
[C] accenture -> adventure	 [fuzz: 0.778]
[C] perl -> per	 [fuzz: 0.857]
[C] mef -> me	 [fuzz: 0.8]
[C] xtss -> tss	 [fuzz: 0.857]
[C] drools -> troops	 [fuzz: 0.667]
[C] lims -> limb	 [fuzz: 0.75]
[C] teamcity -> tenacity	 [fuzz: 0.875]
[C] ajax -> ajar	 [fuzz: 0.75]
[C] winforms -> informs	 [fuzz: 0.933]
[C] causality -> casualty	 [fuzz: 0.824]
[C] matlab -> matas	 [fuzz: 0.727]
[C] iaas -> was	 [fuzz: 0.571]
[C] sla -> sea	 [fuzz: 0.667]
[C] mathcad -> matched	 [fuzz: 0.714]
[C] netica -> notice	 [fuzz: 0.667]
[C] chocolatey -> chocolate	 [fuzz: 0.947]
[C] geant4 -> meant	 [fuzz: 0.727]
[C] maple -> male	 [fuzz: 0.889]
[C] isms -> iss	 [fuzz: 0.857]
[C] oop -> top	 [fuzz: 0.667]
[C] kpn -> ken	 [fuzz: 0.667]
[C] gwt -> get	 [fuzz: 0.667]
[C] mfc -> mac	 [fuzz: 0.667]
[C] warrington -> barrington	 [fuzz: 0.9]
[C] crm -> arm	 [fuzz: 0.667]
[C] wpf -> of	 [fuzz: 0.4]
[C] dpl -> del	 [fuzz: 0.667]
[C] stevenage -> teenage	 [fuzz: 0.875]
[C] .net -> net	 [fuzz: 0.857]
[C] html5 -> html	 [fuzz: 0.889]
[C] glp -> gap	 [fuzz: 0.667]
[C] onshore -> shore	 [fuzz: 0.833]
[C] fmcg -> face	 [fuzz: 0.5]
[C] qsar -> tsar	 [fuzz: 0.75]
[C] ipad -> pad	 [fuzz: 0.857]
[C] usability -> liability	 [fuzz: 0.778]
[C] preservica -> preserving	 [fuzz: 0.8]
[C] mece -> mere	 [fuzz: 0.75]
[C] aocs -> docs	 [fuzz: 0.75]
[C] objective-c -> objective	 [fuzz: 0.9]
[C] nlp -> nap	 [fuzz: 0.667]
[C] automated -> automatic	 [fuzz: 0.778]
[C] meanjs -> means	 [fuzz: 0.909]
[C] ssas -> seas	 [fuzz: 0.75]
[C] mvc -> mac	 [fuzz: 0.667]
[C] junit -> unit	 [fuzz: 0.889]
[C] maven -> haven	 [fuzz: 0.8]
[C] mba -> ma	 [fuzz: 0.8]
[C] xlink -> link	 [fuzz: 0.889]
[C] juggling -> judging	 [fuzz: 0.8]
[C] options -> option	 [fuzz: 0.923]
[C] pascal -> rascal	 [fuzz: 0.833]
[C] aci -> act	 [fuzz: 0.667]
[C] filtering -> faltering	 [fuzz: 0.889]
[C] osx -> os	 [fuzz: 0.8]
[C] alda -> alba	 [fuzz: 0.75]
[C] ssl -> sal	 [fuzz: 0.667]
[C] cbap -> cap	 [fuzz: 0.857]
[C] d3 -> do	 [fuzz: 0.5]
[C] petrel -> petrol	 [fuzz: 0.833]
[C] drupal -> rural	 [fuzz: 0.727]
[C] tdd -> add	 [fuzz: 0.667]
[C] vba -> va	 [fuzz: 0.8]
[C] msproject -> project	 [fuzz: 0.875]
[C] servlets -> servants	 [fuzz: 0.75]
[C] vms -> vs	 [fuzz: 0.8]
[C] ccba -> cuba	 [fuzz: 0.75]
[C] rup -> up	 [fuzz: 0.8]
[C] c# -> c	 [fuzz: 0.667]
[C] doxygen -> oxygen	 [fuzz: 0.923]
[C] aws -> was	 [fuzz: 0.667]
[C] pkpd -> pp	 [fuzz: 0.667]
[C] sas -> was	 [fuzz: 0.667]
[C] interviewing -> intervening	 [fuzz: 0.87]
[C] perforce -> performed	 [fuzz: 0.824]
[C] c++ -> can	 [fuzz: 0.333]
[C] android -> adroit	 [fuzz: 0.769]
[C] eclipse -> eclipsed	 [fuzz: 0.933]
[C] scrum -> serum	 [fuzz: 0.8]
[C] hse -> he	 [fuzz: 0.8]
[C] latex -> later	 [fuzz: 0.8]
[C] databases -> database	 [fuzz: 0.941]
[C] delphi -> delhi	 [fuzz: 0.909]
[C] linux -> line	 [fuzz: 0.667]
[C] irix -> iris	 [fuzz: 0.75]
[C] cora -> cord	 [fuzz: 0.75]
